               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.019877,            0.010069,            0.026578,             0.85648,             0.79668,             0.89049,             0.70647,            0.014129,           0.0031274,             0.01189,           0.0077725,           0.0077725,           0.0077725
                  47,            0.019992,           0.0098259,            0.027466,             0.85153,             0.79446,             0.88589,             0.66504,            0.014791,           0.0033561,            0.012011,            0.007723,            0.007723,            0.007723
                  48,            0.019595,           0.0098888,            0.026774,             0.89638,             0.82194,             0.91607,             0.67616,            0.015183,           0.0031698,            0.010538,           0.0076735,           0.0076735,           0.0076735
                  49,            0.019473,           0.0097679,            0.026199,             0.84594,             0.79768,             0.89135,             0.64832,            0.017298,           0.0030885,            0.011613,            0.007624,            0.007624,            0.007624
                  50,            0.020241,            0.010015,            0.025571,             0.81288,             0.84827,             0.91045,             0.67074,             0.01537,           0.0030677,            0.010675,           0.0075745,           0.0075745,           0.0075745
                  51,            0.019697,           0.0097177,             0.02566,              0.7699,             0.88109,             0.90914,             0.70997,            0.013999,           0.0029847,            0.011023,            0.007525,            0.007525,            0.007525
                  52,            0.019749,            0.010117,            0.026327,             0.90981,             0.80847,             0.90955,             0.68897,            0.014522,           0.0028756,            0.010993,           0.0074755,           0.0074755,           0.0074755
                  53,            0.019636,           0.0099977,             0.02533,             0.92805,             0.80793,             0.92662,             0.70043,            0.013834,           0.0029235,           0.0098458,            0.007426,            0.007426,            0.007426
                  54,            0.019799,           0.0092802,            0.023641,             0.92148,             0.82677,             0.91977,             0.69069,            0.015403,           0.0029722,           0.0088759,           0.0073765,           0.0073765,           0.0073765
                  55,            0.018957,           0.0096311,            0.023912,             0.77118,             0.87633,             0.90683,             0.71167,            0.013403,           0.0028462,            0.011579,            0.007327,            0.007327,            0.007327
                  56,            0.019046,           0.0098921,            0.023082,             0.76345,             0.85459,             0.89011,              0.6682,            0.014823,           0.0029509,            0.012748,           0.0072775,           0.0072775,           0.0072775
                  57,            0.018537,           0.0097898,            0.023782,             0.89349,             0.80807,             0.90314,             0.69984,            0.014036,           0.0027826,            0.010502,            0.007228,            0.007228,            0.007228
                  58,            0.019801,           0.0098556,             0.02351,             0.77035,             0.89859,             0.90825,               0.695,            0.013735,            0.002885,            0.011167,           0.0071785,           0.0071785,           0.0071785
                  59,            0.018959,           0.0095852,            0.023391,             0.75392,             0.91031,             0.90845,              0.6773,            0.014523,           0.0029129,            0.010948,            0.007129,            0.007129,            0.007129
                  60,            0.019078,           0.0095284,            0.022482,             0.83241,             0.89857,             0.92468,             0.69247,            0.015194,           0.0029264,           0.0087352,           0.0070795,           0.0070795,           0.0070795
                  61,            0.019128,           0.0099073,            0.022761,             0.77839,             0.92045,             0.92773,             0.72457,              0.0137,           0.0029277,           0.0088742,             0.00703,             0.00703,             0.00703
                  62,            0.019396,           0.0098341,            0.023624,             0.77751,             0.85751,             0.90074,             0.64493,            0.016949,           0.0031333,            0.013135,           0.0069805,           0.0069805,           0.0069805
